customer_id,source_prospect_id,industry,region,company_size_band,est_annual_revenue,digital_engagement_score,years_in_business,existing_bank_relationship,acquisition_date,credit_line
CUST-200000,PROS-102241,Technology,Central,1000+ employees,1766000.0,20.9,13,Yes,2025-04-24,15000.0
CUST-200001,PROS-105719,Healthcare,South,1000+ employees,7957000.0,26.7,23,Yes,2025-09-05,14000.0
CUST-200002,PROS-104412,Construction,Central,1-9 employees,446000.0,52.5,19,Yes,2025-06-19,17000.0
CUST-200003,PROS-103597,Transportation & Logistics,Central,1-9 employees,984000.0,33.5,17,Yes,2025-06-19,13000.0
CUST-200004,PROS-100934,Healthcare,South,10-49 employees,1380000.0,11.5,8,Yes,2025-08-06,5000.0
CUST-200005,PROS-100933,Technology,West,50-249 employees,531000.0,65.1,22,Yes,2025-12-23,20000.0
CUST-200006,PROS-100360,Wholesale Distribution,West,1-9 employees,4353000.0,39.8,22,No,2025-03-14,28000.0
CUST-200007,PROS-105202,Wholesale Distribution,East,50-249 employees,736000.0,49.6,19,Yes,2025-02-15,33000.0
CUST-200008,PROS-103611,Technology,West,50-249 employees,2800000.0,57.6,27,No,2025-07-30,20000.0
CUST-200009,PROS-104263,Hospitality,North,1-9 employees,1482000.0,45.2,27,Yes,2025-12-09,11000.0
CUST-200010,PROS-100122,Technology,Central,50-249 employees,2377000.0,74.9,24,Yes,2026-01-19,15000.0
CUST-200011,PROS-105825,Transportation & Logistics,East,1-9 employees,9604000.0,45.4,8,Yes,2025-05-14,39000.0
CUST-200012,PROS-105002,Technology,West,250-999 employees,1171000.0,22.9,25,Yes,2025-05-22,11000.0
CUST-200013,PROS-101281,Hospitality,South,1-9 employees,1744000.0,68.3,17,Yes,2025-11-29,6000.0
CUST-200014,PROS-101100,Healthcare,East,1-9 employees,210000.0,62.2,14,Yes,2025-03-02,50000.0
CUST-200015,PROS-101108,Education,South,1-9 employees,542000.0,44.5,12,Yes,2025-05-25,7000.0
CUST-200016,PROS-101819,Professional Services,Central,10-49 employees,457000.0,71.4,1,Yes,2025-07-07,5000.0
CUST-200017,PROS-103157,Education,East,1-9 employees,317000.0,16.6,24,Yes,2025-04-29,16000.0
CUST-200018,PROS-102586,Construction,West,1-9 employees,247000.0,28.0,23,No,2025-06-30,17000.0
CUST-200019,PROS-101741,Hospitality,South,10-49 employees,3679000.0,49.9,18,No,2026-01-31,17000.0
CUST-200020,PROS-103682,Professional Services,East,1000+ employees,236000.0,17.7,37,Yes,2026-01-02,22000.0
CUST-200021,PROS-100835,Hospitality,West,1-9 employees,1799000.0,74.9,10,Yes,2025-06-03,12000.0
CUST-200022,PROS-101746,Education,Central,10-49 employees,,32.3,32,Yes,2025-07-04,12000.0
CUST-200023,PROS-102191,Healthcare,South,250-999 employees,1325000.0,69.1,5,Yes,2026-01-05,9000.0
CUST-200024,PROS-102735,Retail Trade,East,1-9 employees,669000.0,59.4,7,Yes,2025-04-08,14000.0
CUST-200025,PROS-104725,Healthcare,North,1000+ employees,313000.0,37.8,12,Yes,2025-08-17,18000.0
CUST-200026,PROS-101205,Education,East,10-49 employees,384000.0,57.3,39,Yes,2025-03-31,23000.0
CUST-200027,PROS-103093,Professional Services,Central,1-9 employees,137000.0,50.4,2,No,2025-09-11,7000.0
CUST-200028,PROS-103558,Retail Trade,West,10-49 employees,1145000.0,64.1,28,Yes,2025-01-14,6000.0
CUST-200029,PROS-100286,Retail Trade,North,10-49 employees,317000.0,73.4,38,No,2025-03-27,22000.0
CUST-200030,PROS-103656,TRANSPORTATION & LOGISTICS,Central,10-49 employees,1395000.0,75.8,26,No,2025-10-24,9000.0
CUST-200031,PROS-101029,Construction,Central,250-999 employees,496000.0,32.5,29,Yes,2025-10-05,7000.0
CUST-200032,PROS-100406,Healthcare,West,1000+ employees,,41.4,14,Yes,2025-04-18,4000.0
CUST-200033,PROS-105706,Healthcare,Central,10-49 employees,1397000.0,33.7,32,Yes,2025-03-23,31000.0
CUST-200034,PROS-105804,Construction,West,50-249 employees,1275000.0,33.4,13,Yes,2025-11-12,15000.0
CUST-200035,PROS-104863,Hospitality,East,1-9 employees,258000.0,78.9,32,Yes,2026-01-28,18000.0
CUST-200036,PROS-101821,Hospitality,East,10-49 employees,855000.0,48.5,9,Yes,2025-08-09,17000.0
CUST-200037,PROS-100602,Hospitality,East,1-9 employees,3501000.0,32.7,7,Yes,2025-10-16,15000.0
CUST-200038,PROS-104125,Transportation & Logistics,South,1-9 employees,7909000.0,52.2,29,Yes,2025-10-12,13000.0
