customer_id,acquisition_date,variant,week4_active_rate,dispute_rate_30d,cohort_month
CUST-200000,2025-04-24,control,0.432,0.072,2025-04
CUST-200001,2025-09-05,treatment,0.446,0.043,2025-09
CUST-200002,2025-06-19,treatment,0.379,0.035,2025-06
CUST-200003,2025-06-19,treatment,0.61,0.021,2025-06
CUST-200004,2025-08-06,control,0.306,0.074,2025-08
CUST-200005,2025-12-23,treatment,0.489,0.056,2025-12
CUST-200006,2025-03-14,control,0.48,0.023,2025-03
CUST-200007,2025-02-15,control,0.333,0.081,2025-02
CUST-200008,2025-07-30,control,0.44,0.033,2025-07
CUST-200009,2025-12-09,treatment,0.451,0.068,2025-12
CUST-200010,2026-01-19,treatment,0.433,0.026,2026-01
CUST-200011,2025-05-14,treatment,0.458,0.011,2025-05
CUST-200012,2025-05-22,control,0.522,0.081,2025-05
CUST-200013,2025-11-29,control,0.28,0.112,2025-11
CUST-200014,2025-03-02,control,0.483,0.074,2025-03
CUST-200015,2025-05-25,treatment,0.612,0.041,2025-05
CUST-200016,2025-07-07,control,0.452,0.061,2025-07
CUST-200017,2025-04-29,control,0.436,0.072,2025-04
CUST-200018,2025-06-30,control,0.49,0.06,2025-06
CUST-200019,2026-01-31,treatment,0.424,0.061,2026-01
CUST-200020,2026-01-02,control,0.157,0.05,2026-01
CUST-200021,2025-06-03,control,0.584,0.056,2025-06
CUST-200022,2025-07-04,control,0.317,0.027,2025-07
CUST-200023,2026-01-05,control,0.443,0.06,2026-01
CUST-200024,2025-04-08,control,0.392,0.06,2025-04
CUST-200025,2025-08-17,treatment,0.506,0.079,2025-08
CUST-200026,2025-03-31,treatment,0.456,0.071,2025-03
CUST-200027,2025-09-11,control,0.513,0.066,2025-09
CUST-200028,2025-01-14,control,0.435,0.048,2025-01
CUST-200029,2025-03-27,control,0.424,0.073,2025-03
CUST-200030,2025-10-24,control,0.397,0.066,2025-10
CUST-200031,2025-10-05,control,0.396,0.064,2025-10
CUST-200032,2025-04-18,treatment,0.582,0.028,2025-04
CUST-200033,2025-03-23,control,0.395,0.073,2025-03
CUST-200034,2025-11-12,control,0.35,0.091,2025-11
CUST-200035,2026-01-28,treatment,0.449,0.042,2026-01
CUST-200036,2025-08-09,treatment,0.444,0.058,2025-08
CUST-200037,2025-10-16,treatment,0.494,0.059,2025-10
CUST-200038,2025-10-12,treatment,0.668,0.041,2025-10
CUST-200039,2025-12-27,treatment,0.472,0.052,2025-12
CUST-200040,2025-03-23,control,0.398,0.079,2025-03
CUST-200041,2025-08-16,control,0.353,0.078,2025-08
CUST-200042,2025-03-03,treatment,0.533,0.037,2025-03
CUST-200043,2025-05-14,control,0.483,0.044,2025-05
CUST-200044,2025-06-17,control,0.44,0.039,2025-06
CUST-200045,2026-01-09,treatment,0.566,0.05,2026-01
CUST-200046,2025-05-23,control,0.381,0.054,2025-05
CUST-200047,2025-01-11,treatment,0.533,0.026,2025-01
CUST-200048,2025-07-22,treatment,0.397,0.054,2025-07
CUST-200049,2025-06-20,control,0.377,0.096,2025-06
CUST-200050,2025-10-27,control,0.408,0.04,2025-10
CUST-200051,2025-01-02,treatment,0.483,0.036,2025-01
CUST-200052,2025-12-30,control,0.549,0.068,2025-12
CUST-200053,2025-10-24,control,0.341,0.035,2025-10
CUST-200054,2025-08-26,treatment,0.45,0.041,2025-08
CUST-200055,2025-12-10,treatment,0.64,0.038,2025-12
CUST-200056,2025-04-01,treatment,0.562,0.065,2025-04
CUST-200057,2025-06-10,treatment,0.49,0.058,2025-06
CUST-200058,2025-04-29,treatment,0.491,0.049,2025-04
CUST-200059,2025-04-21,control,0.426,0.066,2025-04
CUST-200060,2025-12-29,control,0.448,0.067,2025-12
CUST-200061,2025-12-28,treatment,0.544,0.057,2025-12
CUST-200062,2025-03-25,treatment,0.508,0.095,2025-03
CUST-200063,2025-04-10,control,0.533,0.063,2025-04
CUST-200064,2025-02-07,treatment,0.676,0.084,2025-02
CUST-200065,2025-03-03,treatment,0.366,0.05,2025-03
CUST-200066,2026-01-04,treatment,0.636,0.065,2026-01
CUST-200067,2025-03-18,treatment,0.63,0.114,2025-03
CUST-200068,2025-01-11,control,0.385,0.093,2025-01
CUST-200069,2025-12-16,control,0.482,0.045,2025-12
CUST-200070,2025-10-27,treatment,0.678,0.056,2025-10
CUST-200071,2025-10-12,control,0.36,0.047,2025-10
CUST-200072,2025-02-28,control,0.393,0.048,2025-02
CUST-200073,2025-01-08,treatment,0.528,0.053,2025-01
CUST-200074,2025-09-24,control,0.463,0.047,2025-09
CUST-200075,2025-08-11,treatment,0.523,0.036,2025-08
CUST-200076,2025-03-16,control,0.424,0.055,2025-03
CUST-200077,2025-07-01,control,0.409,0.068,2025-07
CUST-200078,2025-12-25,treatment,0.627,0.113,2025-12
CUST-200079,2025-12-28,treatment,0.524,0.069,2025-12
CUST-200080,2025-01-20,treatment,0.543,0.021,2025-01
CUST-200081,2025-01-14,control,0.477,0.045,2025-01
CUST-200082,2025-05-02,treatment,0.506,0.045,2025-05
CUST-200083,2025-10-27,treatment,0.576,0.067,2025-10
CUST-200084,2025-11-10,treatment,0.568,0.069,2025-11
CUST-200085,2025-07-29,treatment,0.656,0.025,2025-07
CUST-200086,2025-08-15,treatment,0.507,0.079,2025-08
CUST-200087,2025-07-08,treatment,0.499,0.056,2025-07
CUST-200088,2025-06-18,control,0.453,0.023,2025-06
CUST-200089,2025-02-20,control,0.476,0.04,2025-02
CUST-200090,2025-06-24,treatment,0.505,0.086,2025-06
CUST-200091,2026-01-29,treatment,0.465,0.05,2026-01
CUST-200092,2025-07-20,control,0.521,0.072,2025-07
CUST-200093,2025-08-26,treatment,0.611,0.066,2025-08
CUST-200094,2026-02-02,treatment,0.408,0.043,2026-02
CUST-200095,2025-01-12,treatment,0.54,0.045,2025-01
CUST-200096,2025-09-27,treatment,0.564,0.072,2025-09
CUST-200097,2025-04-12,treatment,0.6,0.026,2025-04
CUST-200098,2025-07-14,treatment,0.563,0.032,2025-07
CUST-200099,2025-01-05,control,0.393,0.043,2025-01
CUST-200100,2025-05-09,control,0.457,0.06,2025-05
CUST-200101,2025-08-06,treatment,0.499,0.023,2025-08
CUST-200102,2025-07-21,treatment,0.321,0.051,2025-07
CUST-200103,2025-06-07,treatment,0.521,0.062,2025-06
CUST-200104,2026-01-05,control,0.425,0.078,2026-01
CUST-200105,2025-03-28,control,0.421,0.075,2025-03
CUST-200106,2025-03-29,control,0.511,0.108,2025-03
CUST-200107,2025-08-17,control,0.403,0.041,2025-08
CUST-200108,2025-05-19,control,0.453,0.055,2025-05
CUST-200109,2025-04-23,treatment,0.578,0.075,2025-04
CUST-200110,2025-01-26,control,0.401,0.074,2025-01
CUST-200111,2025-07-28,control,0.428,0.039,2025-07
CUST-200112,2025-09-09,treatment,0.395,0.05,2025-09
CUST-200113,2025-08-16,control,0.388,0.078,2025-08
CUST-200114,2025-11-03,treatment,0.521,0.085,2025-11
CUST-200115,2025-09-23,control,0.356,0.089,2025-09
CUST-200116,2025-09-10,control,0.317,0.076,2025-09
CUST-200117,2025-05-06,treatment,0.635,0.067,2025-05
CUST-200118,2025-11-21,treatment,0.458,0.024,2025-11
CUST-200119,2025-12-23,treatment,0.395,0.069,2025-12
CUST-200120,2025-11-05,treatment,0.545,0.076,2025-11
CUST-200121,2025-02-11,treatment,0.539,0.05,2025-02
CUST-200122,2026-01-24,control,0.305,0.052,2026-01
CUST-200123,2025-08-10,control,0.412,0.054,2025-08
CUST-200124,2025-06-30,control,0.484,0.057,2025-06
CUST-200125,2025-04-01,treatment,0.629,0.014,2025-04
CUST-200126,2025-02-03,control,0.355,0.037,2025-02
CUST-200127,2025-12-02,control,0.355,0.032,2025-12
CUST-200128,2025-08-03,control,0.427,0.085,2025-08
CUST-200129,2026-01-01,treatment,0.533,0.059,2026-01
CUST-200130,2025-11-05,treatment,0.455,0.026,2025-11
CUST-200131,2025-11-20,treatment,0.579,0.06,2025-11
CUST-200132,2025-06-12,control,0.525,0.063,2025-06
CUST-200133,2025-05-30,treatment,0.508,0.056,2025-05
CUST-200134,2025-06-29,treatment,0.513,0.065,2025-06
CUST-200135,2025-01-03,treatment,0.526,0.037,2025-01
CUST-200136,2025-10-22,treatment,0.552,0.057,2025-10
CUST-200137,2025-12-26,treatment,0.533,0.056,2025-12
CUST-200138,2025-01-07,control,0.355,0.036,2025-01
CUST-200139,2025-12-23,treatment,0.501,0.064,2025-12
CUST-200140,2025-09-20,control,0.526,0.05,2025-09
CUST-200141,2025-08-10,treatment,0.533,0.038,2025-08
CUST-200142,2025-10-10,treatment,0.47,0.059,2025-10
CUST-200143,2025-01-09,control,0.36,0.075,2025-01
CUST-200144,2026-01-24,treatment,0.351,0.024,2026-01
CUST-200145,2025-12-15,treatment,0.391,0.02,2025-12
CUST-200146,2025-10-19,treatment,0.322,0.041,2025-10
CUST-200147,2025-05-13,control,0.495,0.043,2025-05
CUST-200148,2025-02-22,treatment,0.495,0.065,2025-02
CUST-200149,2025-05-02,treatment,0.581,0.04,2025-05
CUST-200150,2025-07-19,treatment,0.566,0.037,2025-07
CUST-200151,2026-01-30,control,0.23,0.065,2026-01
CUST-200152,2025-06-12,treatment,0.553,0.063,2025-06
CUST-200153,2025-10-19,control,0.36,0.036,2025-10
CUST-200154,2025-06-10,control,0.502,0.1,2025-06
CUST-200155,2025-01-26,control,0.461,0.085,2025-01
CUST-200156,2025-11-11,control,0.405,0.07,2025-11
CUST-200157,2025-05-16,treatment,0.506,0.062,2025-05
CUST-200158,2025-08-21,treatment,0.585,0.01,2025-08
CUST-200159,2025-05-14,control,0.398,0.063,2025-05
CUST-200160,2025-10-20,control,0.42,0.061,2025-10
CUST-200161,2025-11-23,control,0.435,0.09,2025-11
CUST-200162,2025-10-26,treatment,0.51,0.023,2025-10
CUST-200163,2025-12-26,treatment,0.461,0.026,2025-12
CUST-200164,2025-10-03,control,0.409,0.065,2025-10
CUST-200165,2025-07-31,treatment,0.475,0.032,2025-07
CUST-200166,2025-10-31,control,0.332,0.109,2025-10
CUST-200167,2025-10-01,treatment,0.662,0.03,2025-10
CUST-200168,2025-03-29,treatment,0.547,0.085,2025-03
CUST-200169,2025-04-28,treatment,0.46,0.002,2025-04
CUST-200170,2025-02-09,treatment,0.56,0.044,2025-02
CUST-200171,2025-11-02,control,0.418,0.085,2025-11
CUST-200172,2025-03-06,control,0.496,0.028,2025-03
CUST-200173,2025-02-04,treatment,0.437,0.001,2025-02
