prospect_id,industry,region,company_size_band,est_annual_revenue,digital_engagement_score,years_in_business,existing_bank_relationship,targeting_readiness_score,targeting_tier
PROS-100000,Manufacturing,West,10-49 employees,991000.0,75.6,37,Yes,66.6,Tier 1 - Priority
PROS-100001,Hospitality,Central,1-9 employees,192000.0,20.7,32,Yes,32.8,Tier 3 - Nurture
PROS-100002,Technology,West,10-49 employees,467000.0,31.4,11,Yes,28.1,Tier 3 - Nurture
PROS-100003,Healthcare,East,1-9 employees,362000.0,36.0,16,Yes,26.4,Tier 3 - Nurture
PROS-100004,Healthcare,East,1-9 employees,247000.0,35.1,27,No,34.7,Tier 2 - Warm
PROS-100005,Wholesale Distribution,South,10-49 employees,758000.0,58.6,17,Yes,43.9,Tier 2 - Warm
PROS-100006,Manufacturing,South,50-249 employees,43000.0,42.1,16,No,43.9,Tier 2 - Warm
PROS-100007,Technology,West,250-999 employees,516000.0,39.9,34,No,64.7,Tier 2 - Warm
PROS-100008,Professional Services,North,50-249 employees,660000.0,44.6,5,Yes,36.2,Tier 2 - Warm
PROS-100009,Manufacturing,North,250-999 employees,164000.0,33.6,20,Yes,51.1,Tier 2 - Warm
PROS-100010,Transportation & Logistics,South,50-249 employees,3854000.0,14.1,15,No,31.7,Tier 3 - Nurture
PROS-100011,Education,West,50-249 employees,379000.0,35.8,29,Yes,51.6,Tier 2 - Warm
PROS-100012,Hospitality,West,1-9 employees,562000.0,28.1,39,Yes,41.3,Tier 2 - Warm
PROS-100013,Hospitality,East,10-49 employees,380000.0,56.7,36,Yes,58.1,Tier 2 - Warm
PROS-100014,Hospitality,East,1-9 employees,667000.0,75.1,14,Yes,40.8,Tier 2 - Warm
PROS-100015,Hospitality,North,1-9 employees,3075000.0,44.7,16,No,29.9,Tier 3 - Nurture
PROS-100016,Transportation & Logistics,South,1-9 employees,11076000.0,25.2,5,Yes,13.3,Tier 3 - Nurture
PROS-100017,Retail Trade,North,50-249 employees,1656000.0,39.1,35,Yes,57.7,Tier 2 - Warm
PROS-100018,Wholesale Distribution,West,50-249 employees,2414000.0,12.3,12,No,28.5,Tier 3 - Nurture
PROS-100019,Healthcare,West,250-999 employees,4819000.0,15.6,13,No,38.2,Tier 2 - Warm
PROS-100020,Transportation & Logistics,South,1000+ employees,959000.0,22.7,15,Yes,50.2,Tier 2 - Warm
PROS-100021,Construction,South,250-999 employees,4103000.0,52.8,37,Yes,72.3,Tier 1 - Priority
PROS-100022,Retail Trade,South,1-9 employees,1744000.0,67.3,39,Yes,57.3,Tier 2 - Warm
PROS-100023,Education,Central,250-999 employees,855000.0,39.849999999999994,12,Yes,47.3,Tier 2 - Warm
PROS-100024,Hospitality,East,50-249 employees,1072000.0,75.8,26,Yes,65.5,Tier 2 - Warm
PROS-100025,Technology,West,250-999 employees,98000.0,31.7,10,No,42.4,Tier 2 - Warm
PROS-100026,Healthcare,East,1-9 employees,1006000.0,36.0,18,Yes,28.0,Tier 3 - Nurture
PROS-100027,Wholesale Distribution,West,1-9 employees,134000.0,67.2,29,No,49.4,Tier 2 - Warm
PROS-100028,Transportation & Logistics,East,250-999 employees,122000.0,79.6,20,Yes,69.9,Tier 1 - Priority
PROS-100029,Healthcare,South,1-9 employees,902000.0,25.1,36,Yes,37.7,Tier 2 - Warm
PROS-100030,Healthcare,Central,10-49 employees,214000.0,35.3,20,No,36.8,Tier 2 - Warm
PROS-100031,Professional Services,West,10-49 employees,724000.0,2.6,30,No,31.3,Tier 3 - Nurture
PROS-100032,Manufacturing,West,1-9 employees,849000.0,69.6,19,Yes,42.5,Tier 2 - Warm
PROS-100033,Transportation & Logistics,Central,1-9 employees,892000.0,33.2,29,Yes,35.5,Tier 2 - Warm
PROS-100034,Wholesale Distribution,South,1000+ employees,270000.0,12.5,33,No,60.2,Tier 2 - Warm
PROS-100035,Manufacturing,North,250-999 employees,1960000.0,10.1,38,No,55.7,Tier 2 - Warm
PROS-100036,Wholesale Distribution,East,250-999 employees,661000.0,22.1,14,Yes,41.6,Tier 2 - Warm
PROS-100037,Wholesale Distribution,South,1-9 employees,1185000.0,43.7,22,Yes,34.3,Tier 2 - Warm
PROS-100038,Professional Services,East,1-9 employees,196000.0,18.4,28,Yes,28.7,Tier 3 - Nurture
PROS-100039,Technology,South,10-49 employees,599000.0,34.1,35,No,48.1,Tier 2 - Warm
PROS-100040,Retail Trade,South,10-49 employees,2439000.0,42.1,4,Yes,26.9,Tier 3 - Nurture
PROS-100041,Hospitality,South,1-9 employees,2121000.0,9.0,2,Yes,4.3,Tier 3 - Nurture
PROS-100042,Hospitality,South,50-249 employees,303000.0,23.6,4,No,26.8,Tier 3 - Nurture
PROS-100043,Construction,West,1000+ employees,400000.0,41.6,6,No,50.8,Tier 2 - Warm
PROS-100044,Manufacturing,East,10-49 employees,246000.0,23.2,11,No,24.7,Tier 3 - Nurture
PROS-100045,Education,East,10-49 employees,354000.0,39.9,11,Yes,31.5,Tier 3 - Nurture
PROS-100046,Healthcare,North,10-49 employees,157000.0,37.8,5,Yes,25.9,Tier 3 - Nurture
PROS-100047,Wholesale Distribution,East,1-9 employees,627000.0,84.2,37,No,62.7,Tier 2 - Warm
PROS-100048,Technology,North,1-9 employees,1464000.0,55.7,32,No,47.1,Tier 2 - Warm
PROS-100049,Hospitality,South,10-49 employees,308000.0,17.8,8,Yes,20.1,Tier 3 - Nurture
PROS-100050,Hospitality,East,10-49 employees,660000.0,41.5,16,Yes,36.1,Tier 2 - Warm
PROS-100051,Retail Trade,North,10-49 employees,572000.0,56.3,15,No,41.4,Tier 2 - Warm
PROS-100052,Construction,South,50-249 employees,2328000.0,35.2,34,Yes,55.3,Tier 2 - Warm
PROS-100053,Healthcare,South,1-9 employees,372000.0,28.1,2,No,12.1,Tier 3 - Nurture
PROS-100054,Healthcare,Central,1-9 employees,387000.0,28.0,34,Yes,37.3,Tier 2 - Warm
PROS-100055,Manufacturing,Central,1-9 employees,288000.0,39.7,4,No,18.4,Tier 3 - Nurture
PROS-100056,Transportation & Logistics,North,1-9 employees,724000.0,38.7,21,Yes,31.4,Tier 3 - Nurture
PROS-100057,Retail Trade,West,10-49 employees,1306000.0,66.8,23,Yes,52.0,Tier 2 - Warm
PROS-100058,Hospitality,West,50-249 employees,629000.0,4.0,9,No,22.8,Tier 3 - Nurture
PROS-100059,Technology,South,250-999 employees,775000.0,34.1,4,No,38.6,Tier 2 - Warm
PROS-100060,Education,East,10-49 employees,2964000.0,69.4,17,Yes,48.3,Tier 2 - Warm
PROS-100061,Hospitality,West,10-49 employees,3157000.0,28.9,36,Yes,46.8,Tier 2 - Warm
PROS-100062,Construction,South,1-9 employees,119000.0,20.9,23,Yes,25.7,Tier 3 - Nurture
