customer_id,txn_date,spend_category,amount
CUST-200000,2026-03-23,Office Supplies,152.93
CUST-200000,2026-03-16,Software & SaaS,194.12
CUST-200000,2026-05-21,Utilities,762.64
CUST-200000,2026-06-06,Utilities,197.43
CUST-200000,2026-03-31,Travel,438.17
CUST-200000,2026-03-02,Utilities,141.58
CUST-200000,2026-05-22,Professional Fees,433.61
CUST-200000,2026-06-25,Raw Materials,119.0
CUST-200000,2026-06-07,Raw Materials,284.66
CUST-200000,2026-05-24,Professional Fees,59.33
CUST-200000,2026-03-20,Meetings & Events,695.75
CUST-200000,2026-04-27,Fuel & Fleet,392.31
CUST-200001,2026-06-03,Office Supplies,973.69
CUST-200001,2026-07-23,Software & SaaS,302.19
CUST-200001,2026-05-07,Travel,865.09
CUST-200001,2026-03-29,Professional Fees,71.31
CUST-200001,2026-07-26,Office Supplies,164.77
CUST-200001,2026-06-02,Software & SaaS,392.0
CUST-200001,2026-05-05,Fuel & Fleet,41.16
CUST-200001,2026-08-23,Travel,72.64
CUST-200001,2026-08-08,Travel,943.39
CUST-200001,2026-08-15,Software & SaaS,20.25
CUST-200001,2026-05-11,Travel,404.07
CUST-200001,2026-04-14,Software & SaaS,420.11
CUST-200001,2026-03-26,Meetings & Events,837.6
CUST-200001,2026-08-04,Meetings & Events,454.71
CUST-200001,2026-05-10,Professional Fees,214.82
CUST-200002,2026-07-30,Software & SaaS,293.13
CUST-200002,2026-03-06,Software & SaaS,427.27
CUST-200002,2026-03-12,Software & SaaS,229.53
CUST-200002,2026-08-07,Software & SaaS,553.88
CUST-200002,2026-05-07,Fuel & Fleet,581.39
CUST-200002,2026-04-19,Fuel & Fleet,128.42
CUST-200002,2026-03-03,Utilities,203.09
CUST-200002,2026-07-27,Fuel & Fleet,76.1
CUST-200002,2026-04-05,Raw Materials,681.19
CUST-200002,2026-04-12,Meetings & Events,630.13
CUST-200002,2026-06-26,Professional Fees,86.01
CUST-200002,2026-08-05,Fuel & Fleet,470.81
CUST-200002,2026-05-12,Utilities,547.45
CUST-200002,2026-06-06,Utilities,237.77
CUST-200002,2026-08-15,Utilities,493.94
CUST-200002,2026-06-14,Fuel & Fleet,146.84
CUST-200003,2026-06-11,Raw Materials,369.85
CUST-200003,2026-06-18,Travel,393.85
CUST-200003,2026-07-04,Meetings & Events,836.32
CUST-200003,2026-07-16,Professional Fees,298.01
CUST-200003,2026-06-10,Utilities,234.06
CUST-200003,2026-06-29,Meetings & Events,607.02
CUST-200003,2026-08-20,Fuel & Fleet,517.94
CUST-200003,2026-03-09,Professional Fees,498.9
CUST-200003,2026-05-19,Fuel & Fleet,462.82
CUST-200003,2026-03-25,Travel,214.62
CUST-200003,2026-05-09,Software & SaaS,372.34
CUST-200003,2026-06-13,Professional Fees,245.96
CUST-200003,2026-07-30,Office Supplies,163.46
CUST-200003,2026-07-22,Professional Fees,494.65
CUST-200003,2026-04-19,Office Supplies,544.24
CUST-200003,2026-08-09,Software & SaaS,174.9
CUST-200003,2026-06-02,Utilities,442.72
CUST-200004,2026-08-22,Professional Fees,394.53
CUST-200004,2026-03-28,Software & SaaS,131.86
CUST-200004,2026-06-07,Utilities,998.89
CUST-200004,2026-05-05,Utilities,515.15
CUST-200004,2026-06-12,Utilities,429.96
CUST-200004,2026-07-23,Fuel & Fleet,237.75
CUST-200004,2026-05-02,Fuel & Fleet,263.9
CUST-200004,2026-06-02,Raw Materials,26.71
CUST-200004,2026-04-12,Raw Materials,198.07
CUST-200004,2026-06-05,Fuel & Fleet,1680.78
CUST-200004,2026-06-14,Travel,181.38
CUST-200004,2026-06-17,Office Supplies,93.65
CUST-200004,2026-03-31,Professional Fees,132.87
CUST-200004,2026-04-08,Utilities,176.91
CUST-200004,2026-04-17,Travel,299.63
CUST-200005,2026-05-24,Office Supplies,295.32
CUST-200005,2026-07-08,Travel,297.94
CUST-200005,2026-07-06,Office Supplies,1147.11
CUST-200005,2026-03-19,Office Supplies,288.48
CUST-200005,2026-03-06,Office Supplies,821.21
CUST-200005,2026-04-21,Fuel & Fleet,442.54
CUST-200005,2026-08-25,Utilities,260.87
CUST-200005,2026-04-27,Fuel & Fleet,1031.95
CUST-200005,2026-03-09,Travel,219.9
CUST-200005,2026-07-15,Utilities,432.77
CUST-200005,2026-08-23,Fuel & Fleet,727.06
CUST-200005,2026-04-09,Software & SaaS,102.9
CUST-200005,2026-05-15,Utilities,509.96
CUST-200005,2026-05-27,Raw Materials,432.88
CUST-200005,2026-04-06,Software & SaaS,893.75
CUST-200005,2026-04-04,Fuel & Fleet,25.9
CUST-200005,2026-04-15,Utilities,704.6
CUST-200005,2026-07-03,Fuel & Fleet,77.05
CUST-200005,2026-05-08,Travel,753.63
CUST-200005,2026-03-08,Professional Fees,1132.11
CUST-200006,2026-06-28,Fuel & Fleet,230.98
CUST-200006,2026-04-14,Raw Materials,292.27
CUST-200006,2026-06-13,Travel,552.09
CUST-200006,2026-07-12,Professional Fees,134.86
CUST-200006,2026-07-10,Fuel & Fleet,532.06
CUST-200006,2026-06-07,Software & SaaS,315.1
CUST-200006,2026-06-22,Professional Fees,151.47
CUST-200006,2026-07-12,Fuel & Fleet,511.12
CUST-200006,2026-05-28,Office Supplies,125.36
CUST-200006,2026-07-11,Travel,606.07
CUST-200006,2026-07-01,Fuel & Fleet,1220.71
CUST-200006,2026-08-03,Utilities,618.88
CUST-200006,2026-08-01,Travel,158.16
CUST-200006,2026-03-01,Utilities,401.4
CUST-200006,2026-06-25,Utilities,839.71
CUST-200006,2026-07-08,Software & SaaS,165.0
CUST-200006,2026-07-04,Travel,323.09
CUST-200006,2026-05-01,Professional Fees,563.87
CUST-200007,2026-04-02,Fuel & Fleet,738.49
CUST-200007,2026-04-17,Office Supplies,646.11
CUST-200007,2026-03-01,Travel,103.68
CUST-200007,2026-05-03,Fuel & Fleet,648.11
CUST-200007,2026-07-25,Professional Fees,350.54
CUST-200007,2026-03-03,Fuel & Fleet,121.03
CUST-200007,2026-04-13,Meetings & Events,105.62
CUST-200007,2026-06-03,Raw Materials,727.8
CUST-200007,2026-04-05,Professional Fees,329.99
CUST-200007,2026-03-07,Professional Fees,541.73
CUST-200007,2026-05-20,Utilities,706.07
CUST-200007,2026-03-21,Travel,387.09
CUST-200007,2026-08-16,Fuel & Fleet,201.45
CUST-200007,2026-04-28,Software & SaaS,496.69
CUST-200007,2026-07-22,Travel,552.0
CUST-200007,2026-08-06,Travel,791.59
CUST-200007,2026-08-25,Travel,592.99
CUST-200007,2026-03-10,Utilities,122.11
CUST-200007,2026-07-29,Office Supplies,317.9
CUST-200007,2026-03-27,Fuel & Fleet,60.64
CUST-200007,2026-07-20,Professional Fees,163.81
CUST-200008,2026-05-13,Office Supplies,684.4
CUST-200008,2026-05-17,Fuel & Fleet,106.18
CUST-200008,2026-04-12,Professional Fees,276.46
CUST-200008,2026-07-26,Raw Materials,993.3
CUST-200008,2026-05-18,Professional Fees,175.8
CUST-200008,2026-03-25,Office Supplies,362.25
CUST-200008,2026-03-01,Meetings & Events,152.2
CUST-200008,2026-07-08,Professional Fees,127.73
CUST-200008,2026-04-19,Office Supplies,303.75
CUST-200008,2026-07-28,Office Supplies,411.1
CUST-200008,2026-07-29,Utilities,690.65
CUST-200008,2026-08-17,Utilities,1038.08
CUST-200008,2026-04-16,Meetings & Events,196.93
CUST-200008,2026-08-04,Raw Materials,282.8
CUST-200008,2026-06-16,Office Supplies,129.38
CUST-200008,2026-03-07,Software & SaaS,102.18
CUST-200008,2026-08-08,Office Supplies,120.59
CUST-200008,2026-08-05,Meetings & Events,432.85
CUST-200008,2026-05-23,Software & SaaS,360.65
CUST-200008,2026-04-09,Professional Fees,829.28
CUST-200009,2026-06-01,Travel,95.72
CUST-200009,2026-06-14,Raw Materials,119.16
CUST-200009,2026-08-18,Raw Materials,190.42
CUST-200009,2026-03-17,Office Supplies,385.87
CUST-200009,2026-03-03,Meetings & Events,505.48
CUST-200009,2026-04-27,Meetings & Events,266.13
CUST-200009,2026-07-27,Meetings & Events,359.08
CUST-200009,2026-05-14,Utilities,388.19
CUST-200009,2026-04-03,Raw Materials,95.53
CUST-200009,2026-07-22,Software & SaaS,62.42
CUST-200009,2026-06-08,Raw Materials,1716.33
CUST-200009,2026-03-10,Meetings & Events,245.37
CUST-200009,2026-08-15,Raw Materials,202.62
CUST-200009,2026-05-29,Fuel & Fleet,187.6
CUST-200009,2026-06-20,Raw Materials,161.39
CUST-200010,2026-08-05,Meetings & Events,441.17
CUST-200010,2026-04-20,Travel,117.82
CUST-200010,2026-06-20,Office Supplies,370.44
CUST-200010,2026-05-06,Software & SaaS,254.56
CUST-200010,2026-07-17,Utilities,178.57
CUST-200010,2026-07-15,Fuel & Fleet,236.98
CUST-200010,2026-07-23,Travel,506.49
CUST-200010,2026-04-06,Meetings & Events,296.19
CUST-200010,2026-06-26,Software & SaaS,158.66
CUST-200010,2026-04-13,Professional Fees,304.77
CUST-200010,2026-03-19,Office Supplies,237.31
CUST-200010,2026-03-14,Travel,560.61
CUST-200010,2026-06-22,Travel,523.74
CUST-200010,2026-04-21,Professional Fees,463.78
CUST-200010,2026-07-25,Office Supplies,56.08
CUST-200010,2026-03-16,Fuel & Fleet,1093.79
CUST-200010,2026-04-13,Professional Fees,564.94
CUST-200010,2026-04-28,Travel,165.53
CUST-200010,2026-03-17,Professional Fees,494.39
CUST-200010,2026-04-01,Meetings & Events,120.57
CUST-200011,2026-03-24,Professional Fees,111.42
